🖥️ Host selecionado: BRNOSADM01FW250 (ID: 10512)
📋 Total de itens encontrados: 3320

--- ITENS RELACIONADOS A WAN/INTERFACE ---
ID: 1409573 | Nome: Interface port11(): VDOM | Key: fgIntfEntVdom.[13] | Valor: 1 
ID: 1409574 | Nome: Interface port4(): VDOM | Key: fgIntfEntVdom.[14] | Valor: 1 
ID: 1409575 | Nome: Interface port2(): VDOM | Key: fgIntfEntVdom.[15] | Valor: 1 
ID: 1409576 | Nome: Interface VLAN_MGMT_AP(): VDOM | Key: fgIntfEntVdom.[16] | Valor: 1 
ID: 1409577 | Nome: Interface VLAN_WLAN11(): VDOM | Key: fgIntfEntVdom.[17] | Valor: 1 
ID: 1409578 | Nome: Interface cswlan11(b): VDOM | Key: fgIntfEntVdom.[18] | Valor: 1 
ID: 1409579 | Nome: Interface CENCONET(): VDOM | Key: fgIntfEntVdom.[19] | Valor: 1 
ID: 1409561 | Nome: Interface dmz(): VDOM | Key: fgIntfEntVdom.[1] | Valor: 1 
ID: 1409580 | Nome: Interface cenconet(b): VDOM | Key: fgIntfEntVdom.[20] | Valor: 1 
ID: 1409581 | Nome: Interface VLAN_WLAN12(): VDOM | Key: fgIntfEntVdom.[21] | Valor: 1 
ID: 1409582 | Nome: Interface cswlan12(b): VDOM | Key: fgIntfEntVdom.[22] | Valor: 1 
ID: 1409583 | Nome: Interface port1(): VDOM | Key: fgIntfEntVdom.[23] | Valor: 1 
ID: 1409584 | Nome: Interface port3(): VDOM | Key: fgIntfEntVdom.[24] | Valor: 1 
ID: 1409585 | Nome: Interface port5(): VDOM | Key: fgIntfEntVdom.[25] | Valor: 1 
ID: 1409586 | Nome: Interface port6(): VDOM | Key: fgIntfEntVdom.[26] | Valor: 1 
ID: 1409587 | Nome: Interface port7(): VDOM | Key: fgIntfEntVdom.[27] | Valor: 1 
ID: 1409588 | Nome: Interface port8(): VDOM | Key: fgIntfEntVdom.[28] | Valor: 1 
ID: 1409589 | Nome: Interface port9(): VDOM | Key: fgIntfEntVdom.[29] | Valor: 1 
ID: 1409562 | Nome: Interface mgmt(): VDOM | Key: fgIntfEntVdom.[2] | Valor: 1 
ID: 1409590 | Nome: Interface port10(): VDOM | Key: fgIntfEntVdom.[30] | Valor: 1 
ID: 1409591 | Nome: Interface port12(): VDOM | Key: fgIntfEntVdom.[31] | Valor: 1 
ID: 1409592 | Nome: Interface port13(): VDOM | Key: fgIntfEntVdom.[32] | Valor: 1 
ID: 1409593 | Nome: Interface port14(): VDOM | Key: fgIntfEntVdom.[33] | Valor: 1 
ID: 1409594 | Nome: Interface port15(): VDOM | Key: fgIntfEntVdom.[34] | Valor: 1 
ID: 1409595 | Nome: Interface port16(): VDOM | Key: fgIntfEntVdom.[35] | Valor: 1 
ID: 1409596 | Nome: Interface port17(): VDOM | Key: fgIntfEntVdom.[36] | Valor: 1 
ID: 1409597 | Nome: Interface port18(): VDOM | Key: fgIntfEntVdom.[37] | Valor: 1 
ID: 1409598 | Nome: Interface port19(): VDOM | Key: fgIntfEntVdom.[38] | Valor: 1 
ID: 1409599 | Nome: Interface port20(): VDOM | Key: fgIntfEntVdom.[39] | Valor: 1 
ID: 1409563 | Nome: Interface wan1(Super Connect): VDOM | Key: fgIntfEntVdom.[3] | Valor: 1 
ID: 1409600 | Nome: Interface CABEADA(): VDOM | Key: fgIntfEntVdom.[40] | Valor: 1 
ID: 1409601 | Nome: Interface Uplink Core(): VDOM | Key: fgIntfEntVdom.[41] | Valor: 1 
ID: 1409602 | Nome: Interface default(default.fortilink): VDOM | Key: fgIntfEntVdom.[42] | Valor: 1 
ID: 1409603 | Nome: Interface quarantine(quarantine.fortilink): VDOM | Key: fgIntfEntVdom.[43] | Valor: 1 
ID: 1409604 | Nome: Interface voice(voice.fortilink): VDOM | Key: fgIntfEntVdom.[44] | Valor: 1 
ID: 1409605 | Nome: Interface video(video.fortilink): VDOM | Key: fgIntfEntVdom.[45] | Valor: 1 
ID: 1409606 | Nome: Interface rspan(rspan.fortilink): VDOM | Key: fgIntfEntVdom.[46] | Valor: 1 
ID: 1409607 | Nome: Interface onboarding(onboarding.fortilink): VDOM | Key: fgIntfEntVdom.[47] | Valor: 1 
ID: 1409608 | Nome: Interface Clientes_Cenco(b): VDOM | Key: fgIntfEntVdom.[48] | Valor: 1 
ID: 1409609 | Nome: Interface ClienteCenco(): VDOM | Key: fgIntfEntVdom.[49] | Valor: 1 
ID: 1409564 | Nome: Interface wan2(BR Digital): VDOM | Key: fgIntfEntVdom.[4] | Valor: 1 
ID: 1409610 | Nome: Interface LG(b): VDOM | Key: fgIntfEntVdom.[50] | Valor: 1 
ID: 1409611 | Nome: Interface PWC(b): VDOM | Key: fgIntfEntVdom.[51] | Valor: 1 
ID: 1409612 | Nome: Interface ClienteCenco2(): VDOM | Key: fgIntfEntVdom.[52] | Valor: 1 
ID: 1559704 | Nome: Interface WLSPARK(b): VDOM | Key: fgIntfEntVdom.[53] | Valor: 1 
ID: 1564539 | Nome: Interface CSWLAN15(): VDOM | Key: fgIntfEntVdom.[54] | Valor: 1 
ID: 1564554 | Nome: Interface cswlan15(b): VDOM | Key: fgIntfEntVdom.[55] | Valor: 1 
ID: 1570312 | Nome: Interface cenconetCD(b): VDOM | Key: fgIntfEntVdom.[56] | Valor: 1 
ID: 1409565 | Nome: Interface ha1(): VDOM | Key: fgIntfEntVdom.[5] | Valor: 1 
ID: 1409566 | Nome: Interface ha2(): VDOM | Key: fgIntfEntVdom.[6] | Valor: 1 
ID: 1409567 | Nome: Interface x1(): VDOM | Key: fgIntfEntVdom.[7] | Valor: 1 
ID: 1409568 | Nome: Interface x2(): VDOM | Key: fgIntfEntVdom.[8] | Valor: 1 
ID: 1409569 | Nome: Interface modem(): VDOM | Key: fgIntfEntVdom.[9] | Valor: 1 
ID: 1559059 | Nome: Available Bidirectional Bandwidth of Performance SLA SLA_LAN on SD-WAN member 1 | Key: fgVWLHealthCheckLinkBandwidthBi.[SLA_LAN.1] | Valor: 0 B
ID: 1559060 | Nome: Available Bidirectional Bandwidth of Performance SLA SLA_LAN_2 on SD-WAN member 1 | Key: fgVWLHealthCheckLinkBandwidthBi.[SLA_LAN_2.1] | Valor: 0 B
ID: 1559056 | Nome: Available Bidirectional Bandwidth of Performance SLA SLA_PRIVATE on SD-WAN member 1 | Key: fgVWLHealthCheckLinkBandwidthBi.[SLA_PRIVATE.1] | Valor: 0 B
ID: 1559053 | Nome: Available Bidirectional Bandwidth of Performance SLA SLA_PUBLIC on SD-WAN member 1 | Key: fgVWLHealthCheckLinkBandwidthBi.[SLA_PUBLIC.1] | Valor: 1766733 B
ID: 1559054 | Nome: Available Bidirectional Bandwidth of Performance SLA SLA_PUBLIC on SD-WAN member 2 | Key: fgVWLHealthCheckLinkBandwidthBi.[SLA_PUBLIC.2] | Valor: 1972955 B
ID: 1559055 | Nome: Available Bidirectional Bandwidth of Performance SLA SLA_PUBLIC on SD-WAN member 4 | Key: fgVWLHealthCheckLinkBandwidthBi.[SLA_PUBLIC.4] | Valor: 1909636 B
ID: 1559057 | Nome: Available Bidirectional Bandwidth of Performance SLA SLA_teams on SD-WAN member 2 | Key: fgVWLHealthCheckLinkBandwidthBi.[SLA_teams.2] | Valor: 0 B
ID: 1559058 | Nome: Available Bidirectional Bandwidth of Performance SLA SLA_teams on SD-WAN member 4 | Key: fgVWLHealthCheckLinkBandwidthBi.[SLA_teams.4] | Valor: 0 B
ID: 1559067 | Nome: Available Incoming Bandwidth of Performance SLA SLA_LAN on SD-WAN member 1 | Key: fgVWLHealthCheckLinkBandwidthIn.[SLA_LAN.1] | Valor: 0 B
ID: 1559068 | Nome: Available Incoming Bandwidth of Performance SLA SLA_LAN_2 on SD-WAN member 1 | Key: fgVWLHealthCheckLinkBandwidthIn.[SLA_LAN_2.1] | Valor: 0 B
ID: 1559064 | Nome: Available Incoming Bandwidth of Performance SLA SLA_PRIVATE on SD-WAN member 1 | Key: fgVWLHealthCheckLinkBandwidthIn.[SLA_PRIVATE.1] | Valor: 0 B
ID: 1559061 | Nome: Available Incoming Bandwidth of Performance SLA SLA_PUBLIC on SD-WAN member 1 | Key: fgVWLHealthCheckLinkBandwidthIn.[SLA_PUBLIC.1] | Valor: 910729 B
ID: 1559062 | Nome: Available Incoming Bandwidth of Performance SLA SLA_PUBLIC on SD-WAN member 2 | Key: fgVWLHealthCheckLinkBandwidthIn.[SLA_PUBLIC.2] | Valor: 978205 B
ID: 1559063 | Nome: Available Incoming Bandwidth of Performance SLA SLA_PUBLIC on SD-WAN member 4 | Key: fgVWLHealthCheckLinkBandwidthIn.[SLA_PUBLIC.4] | Valor: 935970 B
ID: 1559065 | Nome: Available Incoming Bandwidth of Performance SLA SLA_teams on SD-WAN member 2 | Key: fgVWLHealthCheckLinkBandwidthIn.[SLA_teams.2] | Valor: 0 B
ID: 1559066 | Nome: Available Incoming Bandwidth of Performance SLA SLA_teams on SD-WAN member 4 | Key: fgVWLHealthCheckLinkBandwidthIn.[SLA_teams.4] | Valor: 0 B
ID: 1559075 | Nome: Available Outgoing Bandwidth of Performance SLA SLA_LAN on SD-WAN member 1 | Key: fgVWLHealthCheckLinkBandwidthOut.[SLA_LAN.1] | Valor: 0 B
ID: 1559076 | Nome: Available Outgoing Bandwidth of Performance SLA SLA_LAN_2 on SD-WAN member 1 | Key: fgVWLHealthCheckLinkBandwidthOut.[SLA_LAN_2.1] | Valor: 0 B
ID: 1559072 | Nome: Available Outgoing Bandwidth of Performance SLA SLA_PRIVATE on SD-WAN member 1 | Key: fgVWLHealthCheckLinkBandwidthOut.[SLA_PRIVATE.1] | Valor: 0 B
ID: 1559069 | Nome: Available Outgoing Bandwidth of Performance SLA SLA_PUBLIC on SD-WAN member 1 | Key: fgVWLHealthCheckLinkBandwidthOut.[SLA_PUBLIC.1] | Valor: 856004 B
ID: 1559070 | Nome: Available Outgoing Bandwidth of Performance SLA SLA_PUBLIC on SD-WAN member 2 | Key: fgVWLHealthCheckLinkBandwidthOut.[SLA_PUBLIC.2] | Valor: 994750 B
ID: 1559071 | Nome: Available Outgoing Bandwidth of Performance SLA SLA_PUBLIC on SD-WAN member 4 | Key: fgVWLHealthCheckLinkBandwidthOut.[SLA_PUBLIC.4] | Valor: 972822 B
ID: 1559073 | Nome: Available Outgoing Bandwidth of Performance SLA SLA_teams on SD-WAN member 2 | Key: fgVWLHealthCheckLinkBandwidthOut.[SLA_teams.2] | Valor: 0 B
ID: 1559074 | Nome: Available Outgoing Bandwidth of Performance SLA SLA_teams on SD-WAN member 4 | Key: fgVWLHealthCheckLinkBandwidthOut.[SLA_teams.4] | Valor: 0 B
ID: 1559083 | Nome: Jitter to SLA_LAN on SD-WAN member 1 | Key: fgVWLHealthCheckLinkJitter[SLA_LAN.1] | Valor: 0 ms
ID: 1559084 | Nome: Jitter to SLA_LAN_2 on SD-WAN member 1 | Key: fgVWLHealthCheckLinkJitter[SLA_LAN_2.1] | Valor: 0 ms
ID: 1559080 | Nome: Jitter to SLA_PRIVATE on SD-WAN member 1 | Key: fgVWLHealthCheckLinkJitter[SLA_PRIVATE.1] | Valor: 0 ms
